ax,ay,az,gx,gy,gz,label
0.8574,-0.3645,1.0502,272.65,-8.96,-14.77,A
-0.0151,0.6071,1.2439,242.55,2.45,-194.81,A
0.8638,0.7964,1.8485,47.95,88.48,-82.18,A
1.0536,0.2557,1.7026,32.34,207.06,32.69,A
-0.2338,1.0604,0.8286,61.67,34.72,45.01,A
-0.0517,2.8348,-0.2259,15.4,-106.89,-122.92,A
1.3308,1.3049,0.4124,-71.96,-257.46,-639.8,A
1.4684,-0.4543,1.3049,-29.54,-219.87,-624.96,A
1.2903,-1.4147,1.832,64.61,-153.58,-517.37,A
0.9248,-2.0701,2.4581,152.6,-158.76,-444.71,A
0.9648,-2.4585,2.8914,187.95,-84.42,-317.59,A
1.0199,-1.444,2.2414,142.03,66.22,26.74,A
0.1791,0.2669,1.1165,14.28,110.6,137.76,A
-0.1913,0.9721,0.4407,-117.18,72.52,81.06,A
-0.2289,0.388,0.3035,-17.15,11.34,30.38,A
-0.3699,-0.6446,-0.8794,-115.15,-156.52,41.58,A
0.2987,-1.1248,-1.1229,-87.71,-442.61,27.51,A
1.1341,-0.8613,-0.4563,-25.55,-585.69,139.44,A
1.7422,-0.8613,-0.0664,39.62,-593.18,299.67,A
2.0125,0.2972,0.5183,103.18,-617.05,395.99,A
1.7031,1.0263,2.4742,157.36,-563.15,286.79,A
1.4484,1.2825,3.5292,123.62,-232.75,234.64,A
1.078,1.3015,4.2724,251.79,86.03,181.09,A
0.6568,2.0789,3.1998,248.57,285.32,107.17,A
0.2933,2.317,1.7812,111.09,223.16,3.99,A
0.5422,1.1512,1.4455,-9.03,109.9,-164.57,A
0.6388,0.8276,1.0594,-91.98,314.65,-309.68,A
0.2416,-0.4324,0.1196,-56.7,259.42,-156.03,A
0.042,-0.6456,-0.3089,-17.99,193.27,-76.02,A
-0.2923,-0.6066,-0.7442,-10.08,109.06,-25.9,A
-0.4748,-0.3733,-1.2937,-25.41,2.45,-46.97,A
0.3162,-0.3719,-1.1004,-106.4,-378.84,59.78,A
0.8203,-0.0956,-0.7271,-104.79,-517.09,113.33,A
0.9999,0.1864,0.0483,-124.11,-571.62,139.58,A
0.9282,0.8037,0.5797,-40.18,-609.28,68.04,A
0.7857,0.8486,1.3493,61.6,-627.69,-82.53,A
0.8945,0.7505,1.9769,160.93,-560.7,-112.42,A
1.1897,0.1557,1.9613,272.65,-100.94,109.06,A
0.6193,0.5641,2.0994,272.02,-24.99,-32.83,A
0.6842,1.017,2.3263,23.38,115.57,-69.16,A
-0.2621,0.9828,1.727,52.15,172.13,-296.31,A
1.4294,0.203,1.8427,-258.72,263.9,27.51,A
0.9526,0.284,1.3532,-218.12,338.31,113.54,A
0.4602,0.3553,0.8355,-44.8,254.1,39.83,A
0.669,0.0176,1.2268,108.99,186.34,91.14,A
