Ax,Ay,Az,Gx,Gy,Gz,Label
-0.1547,0.3382,1.0224,61.67,-32.06,33.32,A
-0.2167,0.5353,0.9301,63.49,-24.15,34.23,A
-0.2767,0.71,0.853,47.32,-34.72,18.69,A
-0.3157,0.998,0.8701,20.86,-31.78,-7.21,A
-0.4221,1.4084,0.8115,-35.7,-20.65,-65.1,A
-0.4504,1.4152,0.6998,-121.03,-30.45,-167.93,A
-0.2094,1.1209,0.65,-155.33,-66.78,-248.15,A
-0.0615,0.772,0.6978,-171.36,-118.79,-289.24,A
0.0605,0.3099,0.9653,-171.01,-147.63,-317.8,A
0.305,-0.2996,1.2712,-158.62,-120.47,-293.02,A
0.3948,-0.691,1.3566,-130.62,-58.87,-212.87,A
0.3109,-0.7066,1.363,-90.3,-9.73,-141.75,A
0.2235,-0.6354,1.2273,-69.09,24.99,-70.98,A
0.1415,-0.5261,1.0126,-67.34,48.3,-18.48,A
-0.0293,-0.3206,0.8735,-59.29,36.47,14.07,A
-0.1,-0.2123,0.7989,-38.64,10.5,22.47,A
-0.0991,-0.2289,0.8623,-0.98,-3.08,22.89,A
-0.0903,-0.2816,0.9018,6.93,-6.86,29.82,A
-0.0224,-0.0947,0.955,45.64,-3.57,54.46,A
-0.1508,0.0834,0.9945,43.68,5.04,42.7,A
-0.1845,0.0952,1.1824,20.79,4.69,30.94,A
-0.164,0.1225,1.2586,10.15,37.52,24.71,A
-0.1976,0.1288,1.0546,-13.23,57.96,13.65,A
-0.2391,0.1064,0.835,-18.62,43.82,6.16,A
-0.2489,0.0864,0.7325,-3.29,15.26,5.74,A
-0.2455,0.0698,0.7237,14.49,-17.22,3.64,A
-0.222,0.0171,0.8389,31.01,-38.78,6.02,A
-0.1654,-0.0122,0.9496,50.19,-45.57,15.68,A
-0.1444,0.0659,1.0458,52.5,-38.22,23.24,A
-0.1635,0.1415,1.1688,34.65,-26.67,16.24,A
-0.1571,0.1479,1.1888,14.0,-6.23,9.31,A
-0.1679,0.1425,1.1053,2.73,1.68,5.25,A
-0.1771,0.1405,1.0238,0.63,-0.7,-0.28,A
-0.1693,0.0859,1.0072,3.5,-7.49,-3.71,A
-0.1396,0.0176,1.0131,12.11,-10.15,0.91,A
-0.1308,0.0298,1.0814,15.96,-7.77,9.8,A
-0.1371,0.0439,1.2346,12.25,2.24,16.73,A
-0.122,-0.002,1.4411,12.11,31.92,24.57,A
-0.059,-0.0708,1.586,24.5,75.88,38.01,A
-0.0361,-0.0649,1.4479,30.31,137.34,53.06,A
-0.0229,-0.0063,1.0897,30.1,189.35,63.56,A
-0.1918,0.1386,0.852,20.16,184.1,67.83,A
-0.2845,0.2772,0.8325,21.0,154.49,59.71,A
-0.2855,0.3499,1.0658,26.18,150.64,42.49,A
-0.387,0.5026,0.9492,-17.01,171.15,3.22,A
-0.4738,0.5422,0.9921,-43.05,161.56,-30.52,A
-0.5256,0.4904,0.7788,-73.99,149.59,-63.49,A
-0.528,0.3333,0.7276,-108.36,112.28,-83.58,A
-0.5012,0.1157,0.5827,-119.63,83.09,-86.24,A
-0.4953,-0.0742,0.6168,-106.12,49.91,-70.21,A
-0.4695,-0.1488,0.6661,-80.29,40.81,-52.36,A
-0.4968,-0.2289,0.7691,-59.71,27.72,-33.95,A
-0.4529,-0.2601,0.8725,-38.71,47.39,-18.76,A
-0.551,-0.0752,0.6583,-25.27,58.31,-18.06,A
-0.5817,-0.0839,0.6339,-21.77,29.75,-10.5,A
-0.6066,0.0264,0.7149,-25.27,25.55,-16.17,A
-0.6207,-0.0039,0.6608,-36.96,15.68,-35.0,A
-0.5836,-0.1908,0.568,-32.97,-3.64,-38.08,A
-0.5441,-0.3157,0.4865,-8.4,-23.94,-19.95,A
-0.5095,-0.3889,0.4695,21.14,-50.68,8.05,A
-0.4641,-0.2938,0.365,47.88,-73.36,52.99,A
-0.4382,-0.2616,0.1098,50.96,-121.24,49.21,A
-0.2972,-0.2518,0.0512,73.85,-206.85,64.61,A
0.0015,-0.5627,0.0791,89.67,-290.64,84.98,A
0.2313,-0.5407,0.3201,149.38,-379.4,153.37,A
0.2791,-0.1645,0.6661,238.07,-451.36,231.77,A
