Ax,Ay,Az,Gx,Gy,Gz,Label
0.4241,-0.4792,1.056,-48.3,98.56,105.56,A
0.3938,-0.6827,1.2576,-76.3,127.75,103.25,A
0.3933,-0.773,1.26,-79.66,183.96,127.05,A
0.3792,-0.6378,0.8642,-71.75,211.89,147.07,A
0.2938,-0.612,0.0249,-19.39,186.9,144.06,A
0.0942,-0.4973,0.0659,56.35,58.31,111.37,A
0.0537,-0.4724,0.7891,56.56,-12.39,69.93,A
0.1474,-0.5749,1.1527,22.96,31.22,59.22,A
0.0859,-0.6651,0.8472,23.73,72.66,62.72,A
0.0561,-0.7261,0.3875,33.32,56.91,69.72,A
0.04,-0.7203,0.3562,53.83,-4.13,78.75,A
0.0405,-0.7945,0.4665,65.66,-20.09,76.16,A
0.0595,-0.7203,0.5329,64.47,-39.06,96.04,A
0.0215,-0.6285,0.4631,63.49,-50.26,101.92,A
-0.0015,-0.5402,0.6032,55.93,-74.13,95.69,A
-0.0054,-0.7442,0.9462,26.11,-65.38,91.0,A
-0.0029,-0.651,0.8111,12.18,-37.52,101.22,A
0.0083,-0.5061,0.7471,7.49,-40.32,124.32,A
-0.0044,-0.3548,0.6383,9.45,-47.25,120.96,A
-0.0185,-0.4094,0.7261,15.47,-61.74,94.15,A
0.0176,-0.3528,0.8813,17.29,-63.91,99.89,A
-0.0015,-0.2518,1.0438,15.54,-50.54,104.02,A
-0.0122,-0.1127,1.0941,8.47,-35.21,90.16,A
-0.0098,-0.0351,1.0726,-5.18,-23.38,65.24,A
0.0093,-0.1566,0.9082,-11.76,-18.06,40.46,A
0.0322,-0.2098,0.9252,2.1,-37.17,36.47,A
0.0376,-0.2455,0.8921,21.77,-47.46,24.99,A
0.0781,-0.2518,1.2395,29.05,-59.01,15.47,A
0.0927,-0.324,1.2873,30.38,-47.32,10.43,A
0.1322,-0.3392,1.4518,23.03,-12.53,23.66,A
0.1279,-0.205,1.3166,23.59,10.99,19.95,A
0.1405,-0.0464,1.2429,24.43,21.07,-6.37,A
0.1308,0.0444,1.1595,16.66,19.46,-31.57,A
0.1308,0.102,1.198,13.37,14.91,-48.02,A
0.1586,0.1723,1.3815,-2.87,20.86,-59.22,A
0.1859,0.181,1.3527,-26.32,42.35,-76.51,A
0.1967,0.1576,1.2551,-29.68,48.09,-100.1,A
0.2094,-0.0795,1.6748,-58.66,69.44,-130.34,A
0.2572,-0.1908,1.5206,-54.6,139.3,-120.96,A
0.2284,-0.3226,1.0043,-4.55,166.95,-127.12,A
0.1078,-0.5392,0.5817,30.31,138.88,-138.88,A
0.0444,-0.6627,0.5856,50.19,98.28,-145.6,A
0.039,-0.8291,0.5973,48.23,91.42,-139.44,A
0.002,-0.9404,0.4734,47.46,82.11,-122.71,A
-0.0268,-1.078,0.3148,47.53,69.16,-106.68,A
-0.0737,-1.1566,0.2977,53.2,37.8,-83.23,A
-0.0766,-1.1863,0.4421,49.35,5.81,-52.29,A
-0.0893,-1.0677,0.5305,38.85,-17.92,-22.26,A
-0.0966,-0.8501,0.6334,22.4,-33.18,-8.26,A
-0.12,-0.6642,0.8447,17.57,-48.58,-4.97,A
-0.0952,-0.509,1.0268,-19.74,-22.33,-5.46,A
-0.0444,-0.6095,0.855,14.28,-25.62,-2.1,A
-0.0429,-0.6207,0.9575,14.28,-19.88,20.3,A
-0.0547,-0.4377,1.036,8.47,-13.58,26.81,A
-0.0249,-0.3377,1.0287,-31.92,-12.88,23.31,A
-0.0156,-0.3645,0.9931,-3.22,-22.96,12.32,A
-0.0342,-0.3924,1.0599,-13.58,-18.13,12.46,A
-0.0488,-0.2904,1.178,-39.13,-7.77,19.88,A
-0.0283,-0.2181,1.0853,-15.19,4.69,2.8,A
-0.019,-0.365,0.9931,-8.75,8.68,-2.45,A
-0.0381,-0.425,0.9545,-8.19,8.05,-2.1,A
-0.02,-0.4904,0.9096,-18.9,10.99,15.05,A
-0.0268,-0.5075,0.8716,-17.64,-4.97,17.64,A
-0.0386,-0.3777,0.9531,-17.5,-7.91,2.31,A
-0.0312,-0.3802,0.9262,-26.11,-6.09,-7.14,A
-0.0307,-0.5109,0.9087,-24.64,-6.58,-1.61,A
-0.039,-0.5197,0.8633,-8.26,-4.2,7.21,A
-0.0498,-0.4543,0.9038,-2.66,-5.53,10.22,A
-0.0551,-0.4807,0.9077,-6.09,-4.9,4.13,A
-0.039,-0.5641,0.8838,-5.11,-0.49,4.13,A
-0.0434,-0.5836,0.8618,-2.52,-4.48,7.98,A
-0.042,-0.5705,0.9277,-4.06,-7.98,10.85,A
-0.0342,-0.5427,1.0268,-5.74,-1.12,17.43,A
-0.0493,-0.4948,1.0082,-3.08,9.17,18.34,A
-0.0429,-0.4553,0.9438,1.96,15.12,15.4,A
-0.0542,-0.5002,0.955,3.5,8.47,10.43,A
-0.0468,-0.51,0.9623,6.72,5.88,11.13,A
-0.0449,-0.5612,1.0653,1.54,3.99,8.82,A
-0.0434,-0.6842,1.2029,-11.48,16.8,18.83,A
-0.0547,-0.7032,1.1624,-13.23,31.92,39.13,A
-0.0727,-0.5641,1.1258,-15.54,40.88,46.69,A
-0.0815,-0.5344,1.0995,-29.89,51.94,43.68,A
-0.0908,-0.5963,0.8662,-24.29,58.73,41.86,A
-0.1191,-0.6046,0.853,-16.8,41.51,41.37,A
-0.1244,-0.5778,0.9213,-19.18,33.25,42.91,A
-0.1566,-0.629,1.1419,-27.51,31.64,38.71,A
-0.1508,-0.6754,1.2073,-42.42,53.62,52.5,A
-0.1649,-0.6695,1.2561,-52.22,75.39,64.33,A
-0.162,-0.6173,1.1156,-54.67,102.06,77.49,A
-0.2001,-0.4851,0.7847,-37.31,103.53,77.42,A
-0.2567,-0.4143,0.6032,-17.15,77.77,57.05,A
-0.3026,-0.5168,0.6451,-6.44,49.0,33.67,A
-0.2952,-0.632,0.9043,-16.24,42.91,35.0,A
-0.3172,-0.588,0.9599,-19.53,49.28,70.21,A
-0.3304,-0.5295,0.9457,-28.56,58.73,61.11,A
-0.3699,-0.4695,0.814,-28.91,59.99,54.95,A
-0.3948,-0.4851,0.8072,-28.63,56.28,41.02,A
-0.4021,-0.5109,0.6915,-13.93,51.59,30.31,A
-0.4055,-0.5348,0.6788,-4.06,46.48,25.27,A
-0.4158,-0.5856,0.6666,0.14,41.86,24.29,A
-0.4172,-0.4914,0.672,5.67,37.8,35.7,A
-0.4372,-0.4436,0.7725,4.2,33.67,36.19,A
-0.4387,-0.426,0.6954,3.92,38.64,33.04,A
-0.4509,-0.4621,0.7286,0.7,31.85,28.14,A
-0.4412,-0.4968,0.7096,-6.58,33.18,26.11,A
-0.4475,-0.5031,0.6534,-6.09,31.92,28.0,A
-0.4504,-0.5012,0.6242,-3.22,27.16,35.49,A
-0.4519,-0.4714,0.548,4.97,24.36,41.37,A
-0.466,-0.4651,0.5475,8.26,11.83,42.21,A
-0.4812,-0.4099,0.612,7.49,8.82,44.45,A
-0.4987,-0.3216,0.6251,7.42,9.94,42.21,A
